Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,2.636
26,67.794
27,184.850
28,225.811
29,248.452
30,254.466
31,255.000
32,255.000
33,255.000
34,255.000
35,255.000
36,255.000
37,255.000
38,255.000
39,255.000
40,255.000
41,255.000
42,255.000
43,255.000
44,255.000
45,255.000
46,255.000
47,255.000
48,255.000
49,255.000
50,255.000
51,255.000
52,255.000
53,255.000
54,255.000
55,255.000
56,255.000
57,255.000
58,255.000
59,255.000
60,255.000
61,255.000
62,255.000
63,255.000
64,255.000
65,255.000
66,255.000
67,255.000
68,255.000
69,255.000
70,255.000
71,255.000
72,255.000
73,255.000
74,255.000
75,255.000
76,255.000
77,255.000
78,255.000
79,255.000
80,255.000
81,255.000
82,255.000
83,255.000
84,255.000
85,255.000
86,255.000
87,255.000
88,254.886
89,246.779
90,222.352
91,176.779
92,59.447
93,0.138
94,0.000
95,0.000
96,0.000
97,0.000
98,0.000
99,0.000
100,0.000
101,0.000
102,0.000
103,0.000
104,0.000
105,0.000
106,0.000
107,0.000
108,0.000
109,0.000
110,0.000
111,0.000
112,0.000
113,0.000
114,0.000
115,0.000
116,0.000
117,0.000
118,0.000
119,0.000
120,0.000
121,0.000
122,0.000
123,0.000
124,0.000
125,0.000
126,0.000
